date,resPropPrice,fx,dsrPnfs,dsrHousehold,dsrNfc,policyRate,financialStressIndex,bankCreditPnfs_yoy_L1,totalCreditPnfsLCY_yoy_L1,totalCreditPnfs2GDP_yoy_L1,bankCreditPnfs_yoy_L2,totalCreditPnfsLCY_yoy_L2,totalCreditPnfs2GDP_yoy_L2,cpi_yoy_L1,fx_std,is_systemic_crisis,EAtermspread,USpolicyRate,UStermSpread
2009-10-01,100.2817,0.6771069701492537,12.300000000000002,7.900000000000001,24.899999999999995,1.0,0.1989399999999999,1.0834761058367004,0.1006463343521391,3.978159126365077,-5.881137753829735,1.277625254739112,3.987490226739632,-0.3194266,0.0798684364895883,1.0,2.299244701163312,0.125,2.5683823529411764
2010-01-01,99.1342,0.723544,12.199999999999998,7.8,24.5,1.0,0.12114,0.2535761310769935,-0.8883000646993988,3.156274056966901,1.0834761058367004,0.1006463343521391,3.978159126365077,0.2530324,0.0514108809746538,1.0,2.400097069601998,0.125,2.800634920634921
2010-04-01,99.8472,0.7869026153846155,12.300000000000002,7.8,24.5,1.0,0.18132,-1.0292797772144202,-0.6777677666711446,1.0654490106544845,0.2535761310769935,-0.8883000646993988,3.156274056966901,0.8526726,0.0947281214442811,1.0,2.4181045656609315,0.125,2.6335714285714285
2010-07-01,100.4955,0.775981455882353,12.199999999999998,7.8,24.5,1.0,0.11362,-8.448845776417091,0.4194800828208,-0.300751879699257,-1.0292797772144202,-0.6777677666711446,1.0654490106544845,1.1947704,0.1014411455487187,1.0,2.0570469777571314,0.125,2.249428571428572
2010-10-01,100.51529999999998,0.7364667794117646,12.1,7.7,24.3,1.0,0.0613,-4.836713104907398,1.7381037639293109,-1.2003000750187676,-8.448845776417091,0.4194800828208,-0.300751879699257,1.0539972,0.0609793792531458,1.0,1.9880543991685995,0.125,2.371304347826087
2011-01-01,100.2208,0.73140825,11.699999999999998,7.5,23.0,1.0,0.0571799999999999,-4.210995147220309,1.2689761721564885,-3.2835820895522394,-4.836713104907398,1.7381037639293109,-1.2003000750187676,1.3287368000000002,0.0557268305324707,1.0,2.044328657035339,0.125,2.76515625
2011-04-01,99.9811,0.6954127692307692,11.6,7.5,22.5,1.2142857142857142,0.0547599999999999,3.675858771309071,-0.3571150311879933,-5.496987951807242,-4.210995147220309,1.2689761721564885,-3.2835820895522394,1.7362524,0.065944897996985,1.0,1.735802334655912,0.125,2.639565217391304
2011-07-01,100.7473,0.7076853382352941,11.5,7.5,22.2,1.4646464646464648,0.13032,9.967536534363507,-1.049506687395263,-6.259426847662142,3.675858771309071,-0.3571150311879933,-5.496987951807242,1.9523266,0.0389378092017347,1.0,1.818562554697134,0.125,2.177323943661972
2011-10-01,100.4737,0.7421305,11.5,7.400000000000001,22.399999999999995,1.3131313131313131,0.19866,0.6248089982142435,-0.1353767284278051,-5.239179954441909,9.967536534363507,-1.049506687395263,-6.259426847662142,2.1990584,0.0427903778538748,1.0,2.040791298286001,0.125,1.783968253968254
2012-01-01,100.6459,0.7630430615384616,11.4,7.3,22.3,1.0,0.11974,-0.6534328645237952,1.02405357580575,-3.858024691358031,0.6248089982142435,-0.1353767284278051,-5.239179954441909,2.2840892,0.0621699302562467,1.0,2.225253076608696,0.125,1.7484375
2012-04-01,101.5315,0.7807980806451613,11.4,7.2,22.8,1.0,0.11574,-2.213792966751238,2.8600453758378386,-1.195219123505975,-0.6534328645237952,1.02405357580575,-3.858024691358031,2.1339258,0.0628335831847386,1.0,2.006802882104396,0.125,1.5340909090909092
2012-07-01,101.3629,0.8002310769230769,11.5,7.2,23.399999999999995,0.7803030303030303,0.09344,-6.223632288915038,3.4547233534493627,0.0804505229284213,-2.213792966751238,2.8600453758378386,-1.195219123505975,1.9149958,0.0496119091814358,1.0,1.9235049582654404,0.125,1.3825
2012-10-01,101.7974,0.7714528787878787,11.4,7.2,23.600000000000005,0.75,0.04942,-1.3777022654691162,2.185698273713732,-0.480769230769229,-6.223632288915038,3.4547233534493627,0.0804505229284213,1.9075884000000003,0.0319482552881358,1.0,1.831244337162084,0.125,1.4359701492537311
2013-01-01,102.2659,0.7574218709677419,11.5,7.099999999999999,24.100000000000005,0.75,0.1299,1.9086992828362792,1.465640170400917,-0.6420545746388284,-1.3777022654691162,2.185698273713732,-0.480769230769229,1.9672934,0.0359124087367727,1.0,1.7532643742446672,0.125,1.688225806451613
2013-04-01,103.03749999999998,0.7656456190476191,11.5,7.099999999999999,24.2,0.6071428571428571,0.09766,-1.7353762787802762,1.6519405845140334,-0.3225806451613078,1.9086992828362792,1.465640170400917,-0.6420545746388284,1.5839282,0.0372164398148839,1.0,1.6418595735704145,0.125,1.7062857142857142
2013-07-01,103.319,0.7556540882352941,11.6,7.0,24.5,0.5,0.0647,2.545007581853076,1.958757799797484,-0.080385852090048,-1.7353762787802762,1.6519405845140334,-0.3225806451613078,1.3548818,0.0147284419325488,0.0,1.848353338614273,0.125,2.328428571428572
