date,cpi_yoy,fx,month,cpi_yoy_growthRate,cpi_yoy_lag1,cpi_yoy_lag2,bankCreditPnfs_lag2,totalCreditPnfsLCY_lag2,cpi_yoy_lag3,bankCreditPnfs_lag3,totalCreditPnfsLCY_lag3,cpi_yoy_lag4,bankCreditPnfs_lag4,totalCreditPnfsLCY_lag4,fx_std,is_systemic_crisis
1991-01-01,2.5253802,0.7827085161290323,1991-01,-0.0676042091719756,3.17381,2.6163884,797.2280000000001,1505.682,2.277526,755.3346666666666,1474.7030000000002,2.7084852,745.727,1464.21,0.0705639725619921,0.0
1991-04-01,2.7900356,0.8868668387096774,1991-04,0.225029088581206,2.5253802,3.17381,838.8763333333333,1548.66,2.6163884,797.2280000000001,1505.682,2.277526,755.3346666666666,1474.7030000000002,0.1759128251199659,0.0
1991-07-01,4.195198,0.8933270735294118,1991-07,0.6034308973392482,2.7900356,2.5253802,790.473,1567.432,3.17381,838.8763333333333,1548.66,2.6163884,797.2280000000001,1505.682,0.157921836564253,0.0
1991-10-01,4.8850880000000005,0.8339619242424243,1991-10,0.539187285943393,4.195198,2.7900356,789.6126666666665,1608.104,2.5253802,790.473,1567.432,3.17381,838.8763333333333,1548.66,0.1648887491912269,0.0
1992-01-01,5.740322000000001,0.827741125,1992-01,1.2730525882795791,4.8850880000000005,4.195198,843.5583333333334,1659.205,2.7900356,789.6126666666665,1608.104,2.5253802,790.473,1567.432,0.1678485076074128,0.0
1992-04-01,6.0539388,0.8256630806451613,1992-04,1.1698428507507217,5.740322000000001,4.8850880000000005,920.7933333333334,1707.177,4.195198,843.5583333333334,1659.205,2.7900356,789.6126666666665,1608.104,0.0666940423286745,0.0
1992-07-01,4.983923,0.7490997205882353,1992-07,0.1880066209032327,6.0539388,5.740322000000001,899.524,1740.548,4.8850880000000005,920.7933333333334,1707.177,4.195198,843.5583333333334,1659.205,0.0888716672831472,0.0
1992-10-01,3.3805908,0.790457223880597,1992-10,-0.3079775021453044,4.983923,6.0539388,963.1176666666668,1782.263,5.740322000000001,899.524,1740.548,4.8850880000000005,920.7933333333334,1707.177,0.12190156646879,0.0
1993-01-01,4.5863632,0.8362752698412698,1993-02,-0.2010268413514085,3.3805908,4.983923,1023.415,1817.721,6.0539388,963.1176666666668,1782.263,5.740322000000001,899.524,1740.548,0.1411032322176467,0.0
1993-04-01,4.566690599999999,0.8278140634920634,1993-04,-0.2456662099061854,4.5863632,3.3805908,967.0133333333332,1835.449,4.983923,1023.415,1817.721,6.0539388,963.1176666666668,1782.263,0.1418092720912876,0.0
1993-07-01,4.563553000000001,0.8578018235294117,1993-07,-0.0843452035675509,4.566690599999999,4.5863632,980.007,1876.121,3.3805908,967.0133333333332,1835.449,4.983923,1023.415,1817.721,0.06295770124529,0.0
